instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_cluster
1360,2011-03-01,Spring,2011,March,22,No,Tuesday,Working Day,Clear/Cloudy,9.84,13.635,62.0,7.0015,3,44,47,Evening
1361,2011-03-01,Spring,2011,March,23,No,Tuesday,Working Day,Clear/Cloudy,9.84,11.365,65.0,15.001299999999999,2,23,25,Evening
1362,2011-03-02,Spring,2011,March,0,No,Wednesday,Working Day,Clear/Cloudy,9.02,11.365,69.0,11.0014,3,5,8,Night
1363,2011-03-02,Spring,2011,March,1,No,Wednesday,Working Day,Clear/Cloudy,9.02,11.365,69.0,12.998000000000001,0,4,4,Night
1364,2011-03-02,Spring,2011,March,2,No,Wednesday,Working Day,Clear/Cloudy,9.02,11.365,69.0,12.998000000000001,0,2,2,Night
1365,2011-03-02,Spring,2011,March,3,No,Wednesday,Working Day,Clear/Cloudy,9.02,10.605,69.0,19.0012,3,1,4,Night
1366,2011-03-02,Spring,2011,March,4,No,Wednesday,Working Day,Clear/Cloudy,8.200000000000001,10.605,75.0,8.9981,1,0,1,Night
1367,2011-03-02,Spring,2011,March,5,No,Wednesday,Working Day,Clear/Cloudy,9.02,10.605,69.0,15.001299999999999,0,5,5,Night
1368,2011-03-02,Spring,2011,March,6,No,Wednesday,Working Day,Clear/Cloudy,9.02,10.605,55.00000000000001,16.997899999999998,1,39,40,Morning
1369,2011-03-02,Spring,2011,March,7,No,Wednesday,Working Day,Clear/Cloudy,9.02,10.605,64.0,16.997899999999998,2,108,110,Morning
1370,2011-03-02,Spring,2011,March,8,No,Wednesday,Working Day,Clear/Cloudy,9.84,10.605,65.0,19.0012,13,243,256,Morning
1371,2011-03-02,Spring,2011,March,9,No,Wednesday,Working Day,Clear/Cloudy,11.48,12.879999999999999,56.00000000000001,19.999499999999998,7,141,148,Morning
1372,2011-03-02,Spring,2011,March,10,No,Wednesday,Working Day,Clear/Cloudy,13.120000000000001,15.15,49.0,19.0012,11,65,76,Morning
1373,2011-03-02,Spring,2011,March,11,No,Wednesday,Working Day,Clear/Cloudy,13.940000000000001,15.15,53.0,22.0028,8,65,73,Morning
1374,2011-03-02,Spring,2011,March,12,No,Wednesday,Working Day,Clear/Cloudy,16.400000000000002,20.455000000000002,43.0,12.998000000000001,20,62,82,Afternoon
1375,2011-03-02,Spring,2011,March,13,No,Wednesday,Working Day,Clear/Cloudy,20.5,24.240000000000002,25.0,0.0,35,90,125,Afternoon
1376,2011-03-02,Spring,2011,March,14,No,Wednesday,Working Day,Clear/Cloudy,21.32,25.0,23.0,19.999499999999998,21,75,96,Afternoon
1377,2011-03-02,Spring,2011,March,15,No,Wednesday,Working Day,Clear/Cloudy,22.14,25.759999999999998,19.0,27.999299999999998,19,91,110,Afternoon
1378,2011-03-02,Spring,2011,March,16,No,Wednesday,Working Day,Clear/Cloudy,22.14,25.759999999999998,19.0,22.0028,27,112,139,Afternoon
1379,2011-03-02,Spring,2011,March,17,No,Wednesday,Working Day,Clear/Cloudy,20.5,24.240000000000002,23.0,19.0012,30,238,268,Afternoon
1382,2011-03-02,Spring,2011,March,20,No,Wednesday,Working Day,Clear/Cloudy,14.76,16.665,28.999999999999996,27.999299999999998,9,86,95,Evening
1383,2011-03-02,Spring,2011,March,21,No,Wednesday,Working Day,Clear/Cloudy,13.940000000000001,14.395,28.999999999999996,31.0009,3,68,71,Evening
1386,2011-03-03,Spring,2011,March,0,No,Thursday,Working Day,Clear/Cloudy,9.84,9.85,30.0,31.0009,3,10,13,Night
1387,2011-03-03,Spring,2011,March,1,No,Thursday,Working Day,Clear/Cloudy,9.84,9.85,30.0,31.0009,0,1,1,Night
1388,2011-03-03,Spring,2011,March,2,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,8.334999999999999,27.0,31.0009,1,2,3,Night
1389,2011-03-03,Spring,2011,March,3,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,8.334999999999999,27.0,31.0009,0,1,1,Night
1391,2011-03-03,Spring,2011,March,5,No,Thursday,Working Day,Clear/Cloudy,5.74,6.0600000000000005,33.0,19.999499999999998,1,7,8,Night
1392,2011-03-03,Spring,2011,March,6,No,Thursday,Working Day,Clear/Cloudy,5.74,6.0600000000000005,33.0,19.999499999999998,1,34,35,Morning
1393,2011-03-03,Spring,2011,March,7,No,Thursday,Working Day,Clear/Cloudy,4.92,4.545,42.0,27.999299999999998,1,110,111,Morning
1394,2011-03-03,Spring,2011,March,8,No,Thursday,Working Day,Clear/Cloudy,5.74,6.0600000000000005,39.0,19.999499999999998,4,216,220,Morning
1395,2011-03-03,Spring,2011,March,9,No,Thursday,Working Day,Clear/Cloudy,6.5600000000000005,6.819999999999999,37.0,19.0012,10,135,145,Morning
1396,2011-03-03,Spring,2011,March,10,No,Thursday,Working Day,Clear/Cloudy,7.38,9.09,28.999999999999996,12.998000000000001,7,49,56,Morning
1397,2011-03-03,Spring,2011,March,11,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,11.365,28.999999999999996,6.0032,10,40,50,Morning
1398,2011-03-03,Spring,2011,March,12,No,Thursday,Working Day,Clear/Cloudy,9.02,11.365,25.0,8.9981,7,65,72,Afternoon
1399,2011-03-03,Spring,2011,March,13,No,Thursday,Working Day,Clear/Cloudy,9.02,12.879999999999999,25.0,6.0032,13,67,80,Afternoon
1400,2011-03-03,Spring,2011,March,14,No,Thursday,Working Day,Clear/Cloudy,9.84,12.879999999999999,21.0,7.0015,18,60,78,Afternoon
1401,2011-03-03,Spring,2011,March,15,No,Thursday,Working Day,Clear/Cloudy,9.84,14.395,23.0,0.0,6,62,68,Afternoon
1402,2011-03-03,Spring,2011,March,16,No,Thursday,Working Day,Clear/Cloudy,10.66,15.15,23.0,0.0,6,65,71,Afternoon
1403,2011-03-03,Spring,2011,March,17,No,Thursday,Working Day,Clear/Cloudy,10.66,15.15,22.0,0.0,17,185,202,Afternoon
1404,2011-03-03,Spring,2011,March,18,No,Thursday,Working Day,Clear/Cloudy,9.84,10.605,35.0,22.0028,6,161,167,Evening
1405,2011-03-03,Spring,2011,March,19,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,9.85,40.0,16.997899999999998,5,101,106,Evening
1406,2011-03-03,Spring,2011,March,20,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,11.365,40.0,6.0032,1,69,70,Evening
1407,2011-03-03,Spring,2011,March,21,No,Thursday,Working Day,Clear/Cloudy,7.38,10.605,40.0,7.0015,3,48,51,Evening
1408,2011-03-03,Spring,2011,March,22,No,Thursday,Working Day,Clear/Cloudy,8.200000000000001,12.879999999999999,40.0,0.0,3,50,53,Evening
1409,2011-03-03,Spring,2011,March,23,No,Thursday,Working Day,Mist/Cloudy,7.38,10.605,43.0,6.0032,0,23,23,Evening
1410,2011-03-04,Spring,2011,March,0,No,Friday,Working Day,Mist/Cloudy,8.200000000000001,9.85,55.00000000000001,12.998000000000001,0,12,12,Night
1411,2011-03-04,Spring,2011,March,1,No,Friday,Working Day,Mist/Cloudy,7.38,9.09,64.0,12.998000000000001,0,4,4,Night
1412,2011-03-04,Spring,2011,March,2,No,Friday,Working Day,Mist/Cloudy,7.38,9.09,64.0,12.998000000000001,0,2,2,Night
1413,2011-03-04,Spring,2011,March,3,No,Friday,Working Day,Mist/Cloudy,7.38,8.334999999999999,74.0,16.997899999999998,0,1,1,Night
1414,2011-03-04,Spring,2011,March,4,No,Friday,Working Day,Mist/Cloudy,7.38,9.09,74.0,12.998000000000001,1,0,1,Night
1415,2011-03-04,Spring,2011,March,5,No,Friday,Working Day,Mist/Cloudy,6.5600000000000005,9.09,74.0,8.9981,0,7,7,Night
1416,2011-03-04,Spring,2011,March,6,No,Friday,Working Day,Mist/Cloudy,6.5600000000000005,9.85,74.0,6.0032,1,28,29,Morning
1417,2011-03-04,Spring,2011,March,7,No,Friday,Working Day,Clear/Cloudy,6.5600000000000005,9.09,80.0,8.9981,0,83,83,Morning
1418,2011-03-04,Spring,2011,March,8,No,Friday,Working Day,Clear/Cloudy,7.38,9.85,74.0,8.9981,6,222,228,Morning
1419,2011-03-04,Spring,2011,March,9,No,Friday,Working Day,Clear/Cloudy,9.02,11.365,60.0,8.9981,12,138,150,Morning
1420,2011-03-04,Spring,2011,March,10,No,Friday,Working Day,Clear/Cloudy,9.84,11.365,60.0,16.997899999999998,10,56,66,Morning
1421,2011-03-04,Spring,2011,March,11,No,Friday,Working Day,Clear/Cloudy,11.48,13.635,52.0,15.001299999999999,16,73,89,Morning
1422,2011-03-04,Spring,2011,March,12,No,Friday,Working Day,Clear/Cloudy,13.120000000000001,15.15,43.0,11.0014,10,87,97,Afternoon
1423,2011-03-04,Spring,2011,March,13,No,Friday,Working Day,Clear/Cloudy,13.940000000000001,15.909999999999998,42.0,15.001299999999999,13,74,87,Afternoon
1424,2011-03-04,Spring,2011,March,14,No,Friday,Working Day,Clear/Cloudy,14.76,16.665,40.0,19.0012,30,65,95,Afternoon
1425,2011-03-04,Spring,2011,March,15,No,Friday,Working Day,Clear/Cloudy,14.76,16.665,40.0,19.999499999999998,31,75,106,Afternoon
1426,2011-03-04,Spring,2011,March,16,No,Friday,Working Day,Clear/Cloudy,14.76,17.424999999999997,46.0,12.998000000000001,17,101,118,Afternoon
1427,2011-03-04,Spring,2011,March,17,No,Friday,Working Day,Mist/Cloudy,14.76,16.665,50.0,16.997899999999998,22,206,228,Afternoon
1428,2011-03-04,Spring,2011,March,18,No,Friday,Working Day,Mist/Cloudy,13.940000000000001,15.15,53.0,19.999499999999998,15,172,187,Evening
1429,2011-03-04,Spring,2011,March,19,No,Friday,Working Day,Clear/Cloudy,13.120000000000001,15.15,61.0,16.997899999999998,5,102,107,Evening
1430,2011-03-04,Spring,2011,March,20,No,Friday,Working Day,Mist/Cloudy,12.299999999999999,14.395,70.0,12.998000000000001,9,78,87,Evening
1431,2011-03-04,Spring,2011,March,21,No,Friday,Working Day,Mist/Cloudy,12.299999999999999,14.395,70.0,15.001299999999999,6,64,70,Evening
1432,2011-03-04,Spring,2011,March,22,No,Friday,Working Day,Clear/Cloudy,12.299999999999999,14.395,70.0,12.998000000000001,4,40,44,Evening
1433,2011-03-04,Spring,2011,March,23,No,Friday,Working Day,Mist/Cloudy,12.299999999999999,15.15,75.0,11.0014,6,40,46,Evening
1434,2011-03-05,Spring,2011,March,0,No,Saturday,Weekend/Holiday,Mist/Cloudy,11.48,14.395,81.0,7.0015,4,15,19,Night
1435,2011-03-05,Spring,2011,March,1,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,15.909999999999998,81.0,7.0015,5,20,25,Night
1436,2011-03-05,Spring,2011,March,2,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,14.395,87.0,12.998000000000001,5,15,20,Night
1437,2011-03-05,Spring,2011,March,3,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,14.395,87.0,12.998000000000001,0,2,2,Night
1438,2011-03-05,Spring,2011,March,4,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,15.15,93.0,11.0014,0,1,1,Night
1439,2011-03-05,Spring,2011,March,5,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,15.15,100.0,8.9981,0,3,3,Night
1440,2011-03-05,Spring,2011,March,6,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,14.395,100.0,15.001299999999999,1,3,4,Morning
1441,2011-03-05,Spring,2011,March,7,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,13.635,100.0,19.999499999999998,5,10,15,Morning
1442,2011-03-05,Spring,2011,March,8,No,Saturday,Weekend/Holiday,Mist/Cloudy,12.299999999999999,13.635,100.0,19.999499999999998,11,34,45,Morning
1443,2011-03-05,Spring,2011,March,9,No,Saturday,Weekend/Holiday,Mist/Cloudy,13.120000000000001,15.15,93.0,15.001299999999999,15,48,63,Morning
1444,2011-03-05,Spring,2011,March,10,No,Saturday,Weekend/Holiday,Mist/Cloudy,13.940000000000001,16.665,93.0,12.998000000000001,34,69,103,Morning
1445,2011-03-05,Spring,2011,March,11,No,Saturday,Weekend/Holiday,Mist/Cloudy,16.400000000000002,20.455000000000002,76.0,15.001299999999999,43,116,159,Morning
1446,2011-03-05,Spring,2011,March,12,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.04,21.97,67.0,16.997899999999998,46,121,167,Afternoon
1447,2011-03-05,Spring,2011,March,13,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,67.0,19.0012,60,130,190,Afternoon
1448,2011-03-05,Spring,2011,March,14,No,Saturday,Weekend/Holiday,Mist/Cloudy,19.68,23.485,59.0,19.0012,80,118,198,Afternoon
1449,2011-03-05,Spring,2011,March,15,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,63.0,19.999499999999998,83,122,205,Afternoon
1450,2011-03-05,Spring,2011,March,16,No,Saturday,Weekend/Holiday,Mist/Cloudy,19.68,23.485,59.0,19.999499999999998,74,130,204,Afternoon
1451,2011-03-05,Spring,2011,March,17,No,Saturday,Weekend/Holiday,Mist/Cloudy,19.68,23.485,59.0,23.9994,60,104,164,Afternoon
1452,2011-03-05,Spring,2011,March,18,No,Saturday,Weekend/Holiday,Mist/Cloudy,19.68,23.485,59.0,22.0028,37,115,152,Evening
1453,2011-03-05,Spring,2011,March,19,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,67.0,22.0028,27,62,89,Evening
1454,2011-03-05,Spring,2011,March,20,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.04,21.97,77.0,22.0028,12,58,70,Evening
1455,2011-03-05,Spring,2011,March,21,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.04,21.97,72.0,22.0028,12,60,72,Evening
1456,2011-03-05,Spring,2011,March,22,No,Saturday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,77.0,19.999499999999998,16,47,63,Evening
1457,2011-03-05,Spring,2011,March,23,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.04,21.97,77.0,19.999499999999998,10,34,44,Evening
1458,2011-03-06,Spring,2011,March,0,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,77.0,23.9994,11,41,52,Night
1459,2011-03-06,Spring,2011,March,1,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,77.0,19.0012,12,27,39,Night
1460,2011-03-06,Spring,2011,March,2,No,Sunday,Weekend/Holiday,Mist/Cloudy,16.400000000000002,20.455000000000002,82.0,19.0012,5,27,32,Night
1461,2011-03-06,Spring,2011,March,3,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,82.0,19.999499999999998,2,9,11,Night
1462,2011-03-06,Spring,2011,March,4,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,88.0,23.9994,0,3,3,Night
1463,2011-03-06,Spring,2011,March,6,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,94.0,23.9994,1,1,2,Morning
1464,2011-03-06,Spring,2011,March,7,No,Sunday,Weekend/Holiday,Light Snow/Rain,17.22,21.21,100.0,30.002599999999997,0,5,5,Morning
1465,2011-03-06,Spring,2011,March,8,No,Sunday,Weekend/Holiday,Mist/Cloudy,16.400000000000002,20.455000000000002,100.0,19.999499999999998,1,8,9,Morning
1466,2011-03-06,Spring,2011,March,9,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,100.0,19.0012,4,18,22,Morning
1467,2011-03-06,Spring,2011,March,10,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,100.0,19.999499999999998,4,27,31,Morning
1468,2011-03-06,Spring,2011,March,11,No,Sunday,Weekend/Holiday,Mist/Cloudy,17.22,21.21,100.0,15.001299999999999,18,44,62,Morning
1469,2011-03-06,Spring,2011,March,12,No,Sunday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,94.0,22.0028,10,69,79,Afternoon
1470,2011-03-06,Spring,2011,March,13,No,Sunday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,94.0,23.9994,22,83,105,Afternoon
1471,2011-03-06,Spring,2011,March,14,No,Sunday,Weekend/Holiday,Light Snow/Rain,18.04,21.97,100.0,15.001299999999999,12,27,39,Afternoon
1472,2011-03-06,Spring,2011,March,15,No,Sunday,Weekend/Holiday,Light Snow/Rain,18.04,21.97,100.0,15.001299999999999,3,4,7,Afternoon
1473,2011-03-06,Spring,2011,March,16,No,Sunday,Weekend/Holiday,Light Snow/Rain,14.76,16.665,100.0,19.0012,3,8,11,Afternoon
1474,2011-03-06,Spring,2011,March,17,No,Sunday,Weekend/Holiday,Light Snow/Rain,13.940000000000001,15.15,100.0,19.999499999999998,2,23,25,Afternoon
1475,2011-03-06,Spring,2011,March,18,No,Sunday,Weekend/Holiday,Light Snow/Rain,13.120000000000001,14.395,100.0,23.9994,0,23,23,Evening
1477,2011-03-06,Spring,2011,March,20,No,Sunday,Weekend/Holiday,Light Snow/Rain,11.48,12.120000000000001,100.0,27.999299999999998,3,8,11,Evening
1479,2011-03-06,Spring,2011,March,22,No,Sunday,Weekend/Holiday,Mist/Cloudy,9.02,9.85,100.0,26.0027,0,10,10,Evening
1480,2011-03-06,Spring,2011,March,23,No,Sunday,Weekend/Holiday,Mist/Cloudy,9.02,9.85,100.0,27.999299999999998,0,9,9,Evening
1481,2011-03-07,Spring,2011,March,0,No,Monday,Working Day,Light Snow/Rain,8.200000000000001,9.09,100.0,22.0028,0,4,4,Night
1482,2011-03-07,Spring,2011,March,1,No,Monday,Working Day,Light Snow/Rain,8.200000000000001,9.09,100.0,22.0028,0,2,2,Night
1485,2011-03-07,Spring,2011,March,5,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,9.09,75.0,23.9994,0,1,1,Night
1486,2011-03-07,Spring,2011,March,6,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,9.09,75.0,26.0027,3,31,34,Morning
1487,2011-03-07,Spring,2011,March,7,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,8.334999999999999,75.0,27.999299999999998,3,88,91,Morning
1488,2011-03-07,Spring,2011,March,8,No,Monday,Working Day,Clear/Cloudy,8.200000000000001,9.09,75.0,26.0027,11,200,211,Morning
1489,2011-03-07,Spring,2011,March,9,No,Monday,Working Day,Clear/Cloudy,9.02,9.09,64.0,31.0009,5,129,134,Morning
1490,2011-03-07,Spring,2011,March,10,No,Monday,Working Day,Clear/Cloudy,9.84,10.605,60.0,19.999499999999998,15,43,58,Morning
1491,2011-03-07,Spring,2011,March,11,No,Monday,Working Day,Clear/Cloudy,10.66,10.605,48.0,30.002599999999997,19,41,60,Morning
1492,2011-03-07,Spring,2011,March,12,No,Monday,Working Day,Clear/Cloudy,12.299999999999999,13.635,42.0,27.999299999999998,28,68,96,Afternoon
1493,2011-03-07,Spring,2011,March,13,No,Monday,Working Day,Clear/Cloudy,13.120000000000001,14.395,36.0,26.0027,16,54,70,Afternoon
1494,2011-03-07,Spring,2011,March,14,No,Monday,Working Day,Clear/Cloudy,13.120000000000001,14.395,36.0,27.999299999999998,21,56,77,Afternoon
1495,2011-03-07,Spring,2011,March,15,No,Monday,Working Day,Clear/Cloudy,13.940000000000001,15.15,31.0,26.0027,32,64,96,Afternoon
1496,2011-03-07,Spring,2011,March,16,No,Monday,Working Day,Clear/Cloudy,13.940000000000001,15.15,31.0,23.9994,26,96,122,Afternoon
1497,2011-03-07,Spring,2011,March,17,No,Monday,Working Day,Clear/Cloudy,13.940000000000001,15.15,28.999999999999996,23.9994,27,206,233,Afternoon
1498,2011-03-07,Spring,2011,March,18,No,Monday,Working Day,Clear/Cloudy,13.120000000000001,15.15,31.0,15.001299999999999,19,214,233,Evening
1499,2011-03-07,Spring,2011,March,19,No,Monday,Working Day,Clear/Cloudy,12.299999999999999,14.395,33.0,15.001299999999999,11,134,145,Evening
1500,2011-03-07,Spring,2011,March,20,No,Monday,Working Day,Clear/Cloudy,12.299999999999999,15.15,33.0,11.0014,5,87,92,Evening
1501,2011-03-07,Spring,2011,March,21,No,Monday,Working Day,Clear/Cloudy,11.48,13.635,38.0,15.001299999999999,1,53,54,Evening
1502,2011-03-07,Spring,2011,March,22,No,Monday,Working Day,Clear/Cloudy,10.66,12.879999999999999,48.0,11.0014,1,34,35,Evening
1503,2011-03-07,Spring,2011,March,23,No,Monday,Working Day,Clear/Cloudy,11.48,15.909999999999998,48.0,0.0,0,22,22,Evening
1504,2011-03-08,Spring,2011,March,0,No,Tuesday,Working Day,Clear/Cloudy,10.66,14.395,48.0,6.0032,1,9,10,Night
1505,2011-03-08,Spring,2011,March,1,No,Tuesday,Working Day,Clear/Cloudy,9.84,12.120000000000001,52.0,8.9981,0,4,4,Night
1506,2011-03-08,Spring,2011,March,2,No,Tuesday,Working Day,Clear/Cloudy,9.84,12.120000000000001,52.0,8.9981,1,0,1,Night
1507,2011-03-08,Spring,2011,March,3,No,Tuesday,Working Day,Clear/Cloudy,9.84,12.879999999999999,52.0,6.0032,5,2,7,Night
1508,2011-03-08,Spring,2011,March,4,No,Tuesday,Working Day,Clear/Cloudy,9.02,13.635,64.0,0.0,0,2,2,Night
1509,2011-03-08,Spring,2011,March,5,No,Tuesday,Working Day,Clear/Cloudy,8.200000000000001,11.365,69.0,7.0015,2,8,10,Night
1510,2011-03-08,Spring,2011,March,6,No,Tuesday,Working Day,Clear/Cloudy,8.200000000000001,12.879999999999999,59.0,0.0,3,42,45,Morning
1511,2011-03-08,Spring,2011,March,7,No,Tuesday,Working Day,Clear/Cloudy,7.38,9.85,64.0,8.9981,9,119,128,Morning
1512,2011-03-08,Spring,2011,March,8,No,Tuesday,Working Day,Clear/Cloudy,9.02,11.365,55.00000000000001,12.998000000000001,10,247,257,Morning
1513,2011-03-08,Spring,2011,March,9,No,Tuesday,Working Day,Clear/Cloudy,10.66,12.879999999999999,41.0,11.0014,11,140,151,Morning
1514,2011-03-08,Spring,2011,March,10,No,Tuesday,Working Day,Mist/Cloudy,12.299999999999999,14.395,33.0,12.998000000000001,25,46,71,Morning
1515,2011-03-08,Spring,2011,March,11,No,Tuesday,Working Day,Mist/Cloudy,14.76,17.424999999999997,25.0,11.0014,26,52,78,Morning
1516,2011-03-08,Spring,2011,March,12,No,Tuesday,Working Day,Mist/Cloudy,14.76,18.94,23.0,0.0,29,70,99,Afternoon
1517,2011-03-08,Spring,2011,March,13,No,Tuesday,Working Day,Mist/Cloudy,15.58,19.695,25.0,7.0015,25,73,98,Afternoon
1518,2011-03-08,Spring,2011,March,14,No,Tuesday,Working Day,Mist/Cloudy,15.58,19.695,20.0,0.0,16,56,72,Afternoon
1519,2011-03-08,Spring,2011,March,15,No,Tuesday,Working Day,Mist/Cloudy,14.76,18.94,18.0,0.0,35,77,112,Afternoon
1520,2011-03-08,Spring,2011,March,16,No,Tuesday,Working Day,Clear/Cloudy,15.58,19.695,27.0,11.0014,26,82,108,Afternoon
1521,2011-03-08,Spring,2011,March,17,No,Tuesday,Working Day,Clear/Cloudy,14.76,17.424999999999997,27.0,15.001299999999999,39,209,248,Afternoon
1522,2011-03-08,Spring,2011,March,18,No,Tuesday,Working Day,Clear/Cloudy,13.940000000000001,16.665,27.0,12.998000000000001,21,214,235,Evening
1523,2011-03-08,Spring,2011,March,19,No,Tuesday,Working Day,Clear/Cloudy,13.940000000000001,17.424999999999997,31.0,7.0015,9,141,150,Evening
1524,2011-03-08,Spring,2011,March,20,No,Tuesday,Working Day,Clear/Cloudy,13.120000000000001,16.665,39.0,6.0032,2,74,76,Evening
1525,2011-03-08,Spring,2011,March,21,No,Tuesday,Working Day,Clear/Cloudy,12.299999999999999,14.395,49.0,12.998000000000001,7,68,75,Evening
1526,2011-03-08,Spring,2011,March,22,No,Tuesday,Working Day,Clear/Cloudy,12.299999999999999,14.395,49.0,15.001299999999999,11,44,55,Evening
1527,2011-03-08,Spring,2011,March,23,No,Tuesday,Working Day,Clear/Cloudy,11.48,13.635,61.0,12.998000000000001,3,38,41,Evening
1528,2011-03-09,Spring,2011,March,0,No,Wednesday,Working Day,Clear/Cloudy,10.66,14.395,65.0,6.0032,0,9,9,Night
1529,2011-03-09,Spring,2011,March,1,No,Wednesday,Working Day,Clear/Cloudy,10.66,13.635,52.0,8.9981,0,4,4,Night
1530,2011-03-09,Spring,2011,March,2,No,Wednesday,Working Day,Clear/Cloudy,10.66,13.635,52.0,8.9981,1,1,2,Night
1531,2011-03-09,Spring,2011,March,3,No,Wednesday,Working Day,Clear/Cloudy,9.84,12.879999999999999,70.0,6.0032,1,2,3,Night
1532,2011-03-09,Spring,2011,March,4,No,Wednesday,Working Day,Clear/Cloudy,9.84,12.879999999999999,75.0,7.0015,0,2,2,Night
1533,2011-03-09,Spring,2011,March,5,No,Wednesday,Working Day,Mist/Cloudy,9.84,12.120000000000001,81.0,8.9981,1,7,8,Night
1534,2011-03-09,Spring,2011,March,6,No,Wednesday,Working Day,Mist/Cloudy,9.84,12.879999999999999,85.0,7.0015,5,44,49,Morning
1535,2011-03-09,Spring,2011,March,7,No,Wednesday,Working Day,Mist/Cloudy,9.84,12.120000000000001,87.0,11.0014,18,123,141,Morning
1536,2011-03-09,Spring,2011,March,8,No,Wednesday,Working Day,Mist/Cloudy,9.84,12.120000000000001,87.0,8.9981,11,238,249,Morning
1537,2011-03-09,Spring,2011,March,9,No,Wednesday,Working Day,Mist/Cloudy,10.66,12.120000000000001,87.0,16.997899999999998,5,136,141,Morning
1538,2011-03-09,Spring,2011,March,10,No,Wednesday,Working Day,Mist/Cloudy,12.299999999999999,14.395,75.0,16.997899999999998,8,49,57,Morning
1539,2011-03-09,Spring,2011,March,11,No,Wednesday,Working Day,Mist/Cloudy,13.120000000000001,14.395,76.0,26.0027,15,44,59,Morning
1540,2011-03-09,Spring,2011,March,12,No,Wednesday,Working Day,Mist/Cloudy,13.120000000000001,15.15,76.0,16.997899999999998,14,84,98,Afternoon
1541,2011-03-09,Spring,2011,March,13,No,Wednesday,Working Day,Mist/Cloudy,13.120000000000001,14.395,76.0,23.9994,17,82,99,Afternoon
1542,2011-03-09,Spring,2011,March,14,No,Wednesday,Working Day,Mist/Cloudy,13.940000000000001,15.15,76.0,19.999499999999998,10,61,71,Afternoon
1543,2011-03-09,Spring,2011,March,15,No,Wednesday,Working Day,Mist/Cloudy,14.76,16.665,71.0,19.999499999999998,15,64,79,Afternoon
1544,2011-03-09,Spring,2011,March,16,No,Wednesday,Working Day,Mist/Cloudy,13.940000000000001,15.15,76.0,22.0028,10,102,112,Afternoon
1545,2011-03-09,Spring,2011,March,17,No,Wednesday,Working Day,Mist/Cloudy,13.940000000000001,15.15,76.0,19.999499999999998,18,176,194,Afternoon
1546,2011-03-09,Spring,2011,March,18,No,Wednesday,Working Day,Mist/Cloudy,13.940000000000001,15.909999999999998,76.0,16.997899999999998,12,176,188,Evening
1547,2011-03-09,Spring,2011,March,19,No,Wednesday,Working Day,Mist/Cloudy,13.940000000000001,15.15,76.0,22.0028,11,123,134,Evening
1548,2011-03-09,Spring,2011,March,20,No,Wednesday,Working Day,Mist/Cloudy,13.120000000000001,15.909999999999998,87.0,12.998000000000001,4,87,91,Evening
1549,2011-03-09,Spring,2011,March,21,No,Wednesday,Working Day,Mist/Cloudy,13.120000000000001,15.15,93.0,22.0028,10,52,62,Evening
1550,2011-03-09,Spring,2011,March,22,No,Wednesday,Working Day,Light Snow/Rain,13.120000000000001,15.909999999999998,93.0,11.0014,4,17,21,Evening
1551,2011-03-09,Spring,2011,March,23,No,Wednesday,Working Day,Light Snow/Rain,13.940000000000001,16.665,93.0,12.998000000000001,1,17,18,Evening
